src_ip,window_start,risk_score,severity,signature_score,signature_hits,isolation_score,ewma_score,ewma_top_deviation,rf_predicted_type,rf_confidence,true_attack_type
10.0.0.9,2026-08-10 05:32:00,0.1192,INFO,0.0,[],0.28,0.298,unique_dst_ips (z=5.6),none,0.988,none
10.0.0.12,2026-08-10 04:01:00,0.1191,INFO,0.0,[],0.359,0.236,unique_dst_ports (z=3.3),none,1.0,none
10.0.0.31,2026-08-10 00:24:00,0.119,INFO,0.0,[],0.395,0.2,avg_packet_size (z=2.3),none,1.0,none
10.0.0.20,2026-08-10 01:56:00,0.1189,INFO,0.0,[],0.296,0.298,flow_count (z=4.3),none,1.0,none
10.0.0.9,2026-08-10 04:56:00,0.1188,INFO,0.0,[],0.326,0.255,total_bytes_recv (z=4.0),none,0.991,none
10.0.0.37,2026-08-10 00:01:00,0.1187,INFO,0.0,[],0.452,0.142,flow_count (z=0.0),none,1.0,none
10.0.0.3,2026-08-10 00:33:00,0.1184,INFO,0.0,[],0.359,0.233,avg_packet_size (z=5.0),none,1.0,none
10.0.0.16,2026-08-10 04:33:00,0.1184,INFO,0.0,[],0.369,0.223,failed_ratio (z=8.0),none,1.0,none
10.0.0.11,2026-08-10 04:24:00,0.118,INFO,0.0,[],0.303,0.287,avg_packet_size (z=5.6),none,1.0,none
10.0.0.4,2026-08-10 05:41:00,0.1179,INFO,0.0,[],0.35,0.239,total_bytes_sent (z=2.4),none,1.0,none
10.0.0.13,2026-08-10 00:28:00,0.1179,INFO,0.0,[],0.291,0.299,total_bytes_recv (z=8.0),none,1.0,none
10.0.0.5,2026-08-10 03:52:00,0.1176,INFO,0.0,[],0.342,0.246,failed_ratio (z=8.0),none,1.0,none
10.0.0.35,2026-08-10 01:21:00,0.1176,INFO,0.0,[],0.368,0.22,flow_count (z=1.7),none,1.0,none
10.0.0.6,2026-08-10 05:24:00,0.1176,INFO,0.0,[],0.396,0.192,port_entropy (z=1.7),none,1.0,none
10.0.0.34,2026-08-10 03:37:00,0.1173,INFO,0.0,[],0.346,0.241,syn_ratio (z=8.0),none,1.0,none
10.0.0.21,2026-08-10 02:18:00,0.1173,INFO,0.0,[],0.307,0.22,syn_ratio (z=4.7),none,0.96,none
10.0.0.4,2026-08-10 03:34:00,0.1171,INFO,0.0,[],0.143,0.218,total_bytes_recv (z=-2.8),none,0.851,none
10.0.0.19,2026-08-10 05:39:00,0.1171,INFO,0.0,[],0.311,0.257,port_entropy (z=3.2),none,0.988,none
10.0.0.2,2026-08-10 05:59:00,0.117,INFO,0.0,[],0.302,0.265,port_entropy (z=2.7),none,0.988,none
10.0.0.38,2026-08-10 00:27:00,0.1167,INFO,0.0,[],0.362,0.221,total_bytes_sent (z=1.9),none,1.0,none
10.0.0.8,2026-08-10 00:46:00,0.1165,INFO,0.0,[],0.365,0.217,total_bytes_sent (z=2.2),none,1.0,none
10.0.0.31,2026-08-10 05:19:00,0.1164,INFO,0.0,[],0.354,0.228,port_entropy (z=2.3),none,1.0,none
10.0.0.21,2026-08-10 03:15:00,0.1162,INFO,0.0,[],0.339,0.242,syn_ratio (z=8.0),none,1.0,none
10.0.0.27,2026-08-10 05:11:00,0.1161,INFO,0.0,[],0.276,0.251,port_entropy (z=2.8),none,0.964,none
10.0.0.27,2026-08-10 03:22:00,0.1161,INFO,0.0,[],0.354,0.226,failed_ratio (z=8.0),none,1.0,none
10.0.0.5,2026-08-10 04:52:00,0.1161,INFO,0.0,[],0.363,0.218,failed_ratio (z=8.0),none,1.0,none
10.0.0.5,2026-08-10 02:30:00,0.1159,INFO,0.0,[],0.323,0.251,syn_ratio (z=8.0),none,0.997,none
10.0.0.2,2026-08-10 05:14:00,0.1158,INFO,0.0,[],0.28,0.185,port_entropy (z=1.6),none,0.924,none
10.0.0.37,2026-08-10 03:47:00,0.1157,INFO,0.0,[],0.301,0.228,syn_ratio (z=4.3),none,0.967,none
10.0.0.25,2026-08-10 05:08:00,0.1156,INFO,0.0,[],0.353,0.225,failed_ratio (z=8.0),none,1.0,none
10.0.0.19,2026-08-10 05:18:00,0.1155,INFO,0.0,[],0.297,0.281,port_entropy (z=3.5),none,1.0,none
10.0.0.20,2026-08-10 05:28:00,0.1155,INFO,0.0,[],0.33,0.248,port_entropy (z=2.1),none,1.0,none
10.0.0.22,2026-08-10 01:35:00,0.1154,INFO,0.0,[],0.356,0.207,flow_count (z=3.1),none,0.99,none
10.0.0.13,2026-08-10 00:34:00,0.1154,INFO,0.0,[],0.371,0.188,avg_packet_size (z=-2.1),none,0.988,none
10.0.0.18,2026-08-10 01:19:00,0.1153,INFO,0.0,[],0.392,0.185,failed_ratio (z=3.9),none,1.0,none
10.0.0.20,2026-08-10 02:27:00,0.1152,INFO,0.0,[],0.298,0.209,flow_count (z=2.2),none,0.954,none
10.0.0.28,2026-08-10 02:18:00,0.1151,INFO,0.0,[],0.348,0.227,syn_ratio (z=5.9),none,1.0,none
10.0.0.14,2026-08-10 02:37:00,0.115,INFO,0.0,[],0.314,0.236,syn_ratio (z=7.4),none,0.983,none
10.0.0.23,2026-08-10 02:33:00,0.115,INFO,0.0,[],0.315,0.242,flow_count (z=2.3),none,0.988,none
10.0.0.21,2026-08-10 02:02:00,0.115,INFO,0.0,[],0.361,0.205,total_bytes_recv (z=1.7),none,0.994,none
10.0.0.31,2026-08-10 04:20:00,0.1148,INFO,0.0,[],0.343,0.231,failed_ratio (z=8.0),none,1.0,none
10.0.0.19,2026-08-10 03:39:00,0.1147,INFO,0.0,[],0.368,0.205,syn_ratio (z=5.4),none,1.0,none
10.0.0.33,2026-08-10 05:42:00,0.1147,INFO,0.0,[],0.317,0.257,syn_ratio (z=6.6),none,1.0,none
10.0.0.5,2026-08-10 03:01:00,0.1147,INFO,0.0,[],0.334,0.24,total_bytes_recv (z=4.8),none,1.0,none
10.0.0.4,2026-08-10 04:34:00,0.1147,INFO,0.0,[],0.323,0.246,total_bytes_sent (z=2.5),none,0.997,none
10.0.0.18,2026-08-10 00:53:00,0.1146,INFO,0.0,[],0.325,0.248,total_bytes_recv (z=5.9),none,1.0,none
10.0.0.21,2026-08-10 02:07:00,0.1143,INFO,0.0,[],0.297,0.194,avg_packet_size (z=-1.4),none,0.947,none
10.0.0.6,2026-08-10 01:51:00,0.1142,INFO,0.0,[],0.29,0.19,port_entropy (z=1.8),none,0.94,none
10.0.0.1,2026-08-10 04:32:00,0.1141,INFO,0.0,[],0.352,0.218,failed_ratio (z=8.0),none,1.0,none
10.0.0.30,2026-08-10 01:18:00,0.1141,INFO,0.0,[],0.33,0.24,total_bytes_recv (z=4.3),none,1.0,none
10.0.0.7,2026-08-10 03:37:00,0.1138,INFO,0.0,[],0.335,0.229,avg_packet_size (z=3.7),none,0.997,none
10.0.0.3,2026-08-10 02:03:00,0.1137,INFO,0.0,[],0.332,0.237,avg_packet_size (z=4.8),none,1.0,none
10.0.0.25,2026-08-10 01:37:00,0.1137,INFO,0.0,[],0.333,0.235,total_bytes_recv (z=3.0),none,1.0,none
10.0.0.39,2026-08-10 02:23:00,0.1134,INFO,0.0,[],0.344,0.223,failed_ratio (z=8.0),none,1.0,none
10.0.0.16,2026-08-10 00:27:00,0.1134,INFO,0.0,[],0.165,0.402,total_bytes_sent (z=-8.0),none,1.0,none
10.0.0.37,2026-08-10 05:17:00,0.1132,INFO,0.0,[],0.29,0.276,syn_ratio (z=8.0),none,1.0,none
10.0.0.21,2026-08-10 04:35:00,0.1131,INFO,0.0,[],0.352,0.213,failed_ratio (z=4.2),none,1.0,none
10.0.0.26,2026-08-10 01:04:00,0.113,INFO,0.0,[],0.256,0.232,total_bytes_sent (z=2.2),none,0.949,none
10.0.0.29,2026-08-10 04:13:00,0.113,INFO,0.0,[],0.336,0.219,syn_ratio (z=4.6),none,0.993,none
10.0.0.1,2026-08-10 04:36:00,0.1127,INFO,0.0,[],0.323,0.241,avg_packet_size (z=7.4),none,1.0,none
10.0.0.30,2026-08-10 05:52:00,0.1127,INFO,0.0,[],0.308,0.206,syn_ratio (z=3.0),none,0.967,none
10.0.0.7,2026-08-10 00:22:00,0.1126,INFO,0.0,[],0.285,0.278,total_bytes_sent (z=5.2),none,1.0,none
10.0.0.26,2026-08-10 05:37:00,0.1125,INFO,0.0,[],0.322,0.24,port_entropy (z=2.0),none,1.0,none
10.0.0.10,2026-08-10 05:06:00,0.1125,INFO,0.0,[],0.308,0.255,avg_duration (z=5.1),none,1.0,none
10.0.0.30,2026-08-10 05:34:00,0.1124,INFO,0.0,[],0.33,0.232,avg_duration (z=3.2),none,1.0,none
10.0.0.15,2026-08-10 04:51:00,0.1123,INFO,0.0,[],0.355,0.207,failed_ratio (z=8.0),none,1.0,none
10.0.0.8,2026-08-10 05:11:00,0.112,INFO,0.0,[],0.139,0.198,total_bytes_recv (z=-2.0),none,0.851,none
10.0.0.21,2026-08-10 04:22:00,0.112,INFO,0.0,[],0.353,0.208,failed_ratio (z=8.0),none,1.0,none
10.0.0.29,2026-08-10 03:55:00,0.1118,INFO,0.0,[],0.368,0.191,failed_ratio (z=3.3),none,1.0,none
10.0.0.32,2026-08-10 05:30:00,0.1117,INFO,0.0,[],0.341,0.218,failed_ratio (z=8.0),none,1.0,none
10.0.0.8,2026-08-10 01:37:00,0.1116,INFO,0.0,[],0.35,0.208,port_entropy (z=2.5),none,1.0,none
10.0.0.16,2026-08-10 02:51:00,0.1114,INFO,0.0,[],0.322,0.23,total_bytes_recv (z=-3.0),none,0.997,none
10.0.0.35,2026-08-10 02:15:00,0.1113,INFO,0.0,[],0.339,0.188,flow_count (z=2.7),none,0.98,none
10.0.0.34,2026-08-10 04:37:00,0.1113,INFO,0.0,[],0.331,0.225,failed_ratio (z=8.0),none,1.0,none
10.0.0.33,2026-08-10 01:31:00,0.1111,INFO,0.0,[],0.335,0.22,syn_ratio (z=2.6),none,1.0,none
10.0.0.25,2026-08-10 04:30:00,0.111,INFO,0.0,[],0.314,0.206,total_bytes_sent (z=-2.3),none,0.977,none
10.0.0.4,2026-08-10 03:21:00,0.111,INFO,0.0,[],0.28,0.27,avg_packet_size (z=7.9),none,0.997,none
10.0.0.39,2026-08-10 01:59:00,0.1108,INFO,0.0,[],0.338,0.216,total_bytes_recv (z=1.9),none,1.0,none
10.0.0.34,2026-08-10 03:50:00,0.1107,INFO,0.0,[],0.349,0.205,total_bytes_recv (z=-2.1),none,1.0,none
10.0.0.14,2026-08-10 02:09:00,0.1106,INFO,0.0,[],0.287,0.211,avg_packet_size (z=8.0),none,0.963,none
10.0.0.11,2026-08-10 04:10:00,0.1104,INFO,0.0,[],0.343,0.209,failed_ratio (z=8.0),none,1.0,none
10.0.0.22,2026-08-10 01:49:00,0.1103,INFO,0.0,[],0.284,0.222,syn_ratio (z=7.0),none,0.97,none
10.0.0.19,2026-08-10 04:25:00,0.1103,INFO,0.0,[],0.336,0.215,failed_ratio (z=8.0),none,1.0,none
10.0.0.3,2026-08-10 04:19:00,0.1103,INFO,0.0,[],0.343,0.209,total_bytes_recv (z=-2.3),none,1.0,none
10.0.0.31,2026-08-10 04:23:00,0.1102,INFO,0.0,[],0.288,0.263,syn_ratio (z=8.0),none,1.0,none
10.0.0.21,2026-08-10 01:57:00,0.1102,INFO,0.0,[],0.306,0.235,flow_count (z=2.4),none,0.993,none
10.0.0.31,2026-08-10 04:58:00,0.1101,INFO,0.0,[],0.274,0.197,port_entropy (z=1.4),none,0.947,none
10.0.0.3,2026-08-10 02:11:00,0.1101,INFO,0.0,[],0.353,0.198,total_bytes_recv (z=3.2),none,1.0,none
10.0.0.30,2026-08-10 05:19:00,0.1101,INFO,0.0,[],0.259,0.287,port_entropy (z=3.3),none,0.997,none
10.0.0.6,2026-08-10 04:43:00,0.1101,INFO,0.0,[],0.281,0.247,total_bytes_sent (z=2.1),none,0.985,none
10.0.0.37,2026-08-10 02:28:00,0.1101,INFO,0.0,[],0.3,0.25,avg_packet_size (z=5.6),none,1.0,none
10.0.0.28,2026-08-10 05:44:00,0.11,INFO,0.0,[],0.311,0.234,avg_packet_size (z=-2.6),none,0.997,none
10.0.0.16,2026-08-10 04:52:00,0.1099,INFO,0.0,[],0.331,0.218,avg_packet_size (z=-2.8),none,1.0,none
10.0.0.33,2026-08-10 00:10:00,0.1098,INFO,0.0,[],0.275,0.142,flow_count (z=0.0),none,0.912,none
10.0.0.10,2026-08-10 01:43:00,0.1098,INFO,0.0,[],0.331,0.213,total_bytes_sent (z=-2.4),none,0.997,none
10.0.0.35,2026-08-10 03:57:00,0.1098,INFO,0.0,[],0.332,0.217,failed_ratio (z=8.0),none,1.0,none
10.0.0.23,2026-08-10 05:25:00,0.1097,INFO,0.0,[],0.316,0.232,total_bytes_sent (z=2.3),none,1.0,none
10.0.0.14,2026-08-10 05:31:00,0.1097,INFO,0.0,[],0.282,0.266,port_entropy (z=2.6),none,1.0,none
10.0.0.11,2026-08-10 05:32:00,0.1096,INFO,0.0,[],0.315,0.233,syn_ratio (z=5.2),none,1.0,none
10.0.0.18,2026-08-10 00:03:00,0.1096,INFO,0.0,[],0.406,0.142,flow_count (z=0.0),none,1.0,none
10.0.0.25,2026-08-10 05:02:00,0.1096,INFO,0.0,[],0.329,0.219,total_bytes_recv (z=2.2),none,1.0,none
10.0.0.2,2026-08-10 03:51:00,0.1095,INFO,0.0,[],0.333,0.214,avg_duration (z=2.5),none,1.0,none
10.0.0.34,2026-08-10 05:23:00,0.1094,INFO,0.0,[],0.347,0.2,total_bytes_recv (z=1.9),none,1.0,none
10.0.0.18,2026-08-10 05:30:00,0.1094,INFO,0.0,[],0.321,0.226,syn_ratio (z=3.5),none,1.0,none
10.0.0.2,2026-08-10 04:48:00,0.1094,INFO,0.0,[],0.351,0.187,flow_count (z=1.3),none,0.994,none
10.0.0.37,2026-08-10 03:31:00,0.1094,INFO,0.0,[],0.307,0.24,port_entropy (z=2.3),none,1.0,none
10.0.0.28,2026-08-10 00:52:00,0.1094,INFO,0.0,[],0.3,0.23,total_bytes_sent (z=2.5),none,0.989,none
10.0.0.31,2026-08-10 05:30:00,0.1093,INFO,0.0,[],0.269,0.236,port_entropy (z=2.4),none,0.972,none
10.0.0.17,2026-08-10 02:35:00,0.1093,INFO,0.0,[],0.331,0.215,failed_ratio (z=8.0),none,1.0,none
10.0.0.23,2026-08-10 03:57:00,0.1092,INFO,0.0,[],0.331,0.21,avg_packet_size (z=-2.2),none,0.997,none
10.0.0.36,2026-08-10 04:50:00,0.1092,INFO,0.0,[],0.338,0.208,avg_packet_size (z=3.4),none,1.0,none
10.0.0.12,2026-08-10 02:56:00,0.1092,INFO,0.0,[],0.278,0.23,flow_count (z=2.7),none,0.975,none
10.0.0.13,2026-08-10 05:18:00,0.1092,INFO,0.0,[],0.332,0.214,failed_ratio (z=8.0),none,1.0,none
10.0.0.33,2026-08-10 01:36:00,0.1089,INFO,0.0,[],0.263,0.268,unique_dst_ports (z=2.9),none,0.991,none
10.0.0.23,2026-08-10 05:15:00,0.1089,INFO,0.0,[],0.259,0.259,port_entropy (z=2.5),none,0.982,none
10.0.0.14,2026-08-10 02:50:00,0.1086,INFO,0.0,[],0.35,0.193,syn_ratio (z=2.4),none,1.0,none
10.0.0.29,2026-08-10 03:19:00,0.1086,INFO,0.0,[],0.279,0.255,total_bytes_sent (z=2.3),none,0.994,none
10.0.0.33,2026-08-10 05:19:00,0.1084,INFO,0.0,[],0.333,0.209,failed_ratio (z=8.0),none,1.0,none
10.0.0.17,2026-08-10 03:38:00,0.1082,INFO,0.0,[],0.307,0.234,syn_ratio (z=8.0),none,1.0,none
10.0.0.2,2026-08-10 05:12:00,0.1082,INFO,0.0,[],0.288,0.227,port_entropy (z=2.7),none,0.983,none
10.0.0.9,2026-08-10 01:22:00,0.1081,INFO,0.0,[],0.29,0.251,flow_count (z=2.4),none,1.0,none
10.0.0.1,2026-08-10 00:41:00,0.1079,INFO,0.0,[],0.35,0.189,avg_duration (z=2.0),none,1.0,none
10.0.0.32,2026-08-10 03:40:00,0.1079,INFO,0.0,[],0.337,0.202,failed_ratio (z=8.0),none,1.0,none
10.0.0.3,2026-08-10 03:00:00,0.1079,INFO,0.0,[],0.306,0.234,avg_packet_size (z=5.2),none,1.0,none
10.0.0.21,2026-08-10 02:05:00,0.1079,INFO,0.0,[],0.341,0.184,flow_count (z=1.1),none,0.991,none
10.0.0.21,2026-08-10 00:15:00,0.1078,INFO,0.0,[],0.397,0.142,flow_count (z=0.0),none,1.0,none
10.0.0.34,2026-08-10 01:03:00,0.1078,INFO,0.0,[],0.34,0.198,syn_ratio (z=2.3),none,1.0,none
10.0.0.32,2026-08-10 05:55:00,0.1077,INFO,0.0,[],0.265,0.23,port_entropy (z=2.2),none,0.971,none
10.0.0.25,2026-08-10 04:59:00,0.1076,INFO,0.0,[],0.29,0.234,port_entropy (z=2.6),none,0.991,none
10.0.0.24,2026-08-10 04:02:00,0.1073,INFO,0.0,[],0.3,0.232,total_bytes_recv (z=3.9),none,0.997,none
10.0.0.9,2026-08-10 04:11:00,0.1072,INFO,0.0,[],0.323,0.213,syn_ratio (z=2.5),none,1.0,none
10.0.0.39,2026-08-10 01:43:00,0.1069,INFO,0.0,[],0.36,0.174,port_entropy (z=1.1),none,1.0,none
10.0.0.13,2026-08-10 00:38:00,0.1068,INFO,0.0,[],0.351,0.183,total_bytes_sent (z=1.3),none,1.0,none
10.0.0.20,2026-08-10 03:37:00,0.1068,INFO,0.0,[],0.271,0.259,flow_count (z=3.1),none,0.997,none
10.0.0.4,2026-08-10 05:11:00,0.1067,INFO,0.0,[],0.286,0.235,port_entropy (z=2.5),none,0.991,none
10.0.0.6,2026-08-10 05:52:00,0.1066,INFO,0.0,[],0.313,0.22,syn_ratio (z=2.4),none,1.0,none
10.0.0.9,2026-08-10 02:09:00,0.1066,INFO,0.0,[],0.353,0.18,failed_ratio (z=4.8),none,1.0,none
10.0.0.14,2026-08-10 02:11:00,0.1064,INFO,0.0,[],0.354,0.178,flow_count (z=2.0),none,1.0,none
10.0.0.1,2026-08-10 02:15:00,0.1063,INFO,0.0,[],0.265,0.226,flow_count (z=2.8),none,0.973,none
10.0.0.12,2026-08-10 05:03:00,0.1063,INFO,0.0,[],0.326,0.205,failed_ratio (z=8.0),none,1.0,none
10.0.0.26,2026-08-10 05:08:00,0.1063,INFO,0.0,[],0.315,0.216,total_bytes_sent (z=-2.5),none,1.0,none
10.0.0.6,2026-08-10 05:26:00,0.1063,INFO,0.0,[],0.27,0.187,port_entropy (z=1.3),none,0.951,none
10.0.0.5,2026-08-10 02:34:00,0.1061,INFO,0.0,[],0.284,0.247,total_bytes_sent (z=3.3),none,1.0,none
10.0.0.29,2026-08-10 04:30:00,0.1061,INFO,0.0,[],0.339,0.192,failed_ratio (z=3.5),none,1.0,none
10.0.0.31,2026-08-10 03:36:00,0.1061,INFO,0.0,[],0.322,0.208,syn_ratio (z=2.8),none,1.0,none
10.0.0.17,2026-08-10 04:24:00,0.1061,INFO,0.0,[],0.316,0.214,syn_ratio (z=2.9),none,1.0,none
10.0.0.20,2026-08-10 00:46:00,0.106,INFO,0.0,[],0.299,0.231,avg_duration (z=8.0),none,1.0,none
10.0.0.36,2026-08-10 02:57:00,0.1057,INFO,0.0,[],0.312,0.217,syn_ratio (z=3.5),none,1.0,none
10.0.0.1,2026-08-10 00:59:00,0.1056,INFO,0.0,[],0.331,0.197,syn_ratio (z=2.1),none,1.0,none
10.0.0.29,2026-08-10 04:16:00,0.1055,INFO,0.0,[],0.333,0.194,syn_ratio (z=2.0),none,1.0,none
10.0.0.22,2026-08-10 04:40:00,0.1053,INFO,0.0,[],0.275,0.247,unique_dst_ports (z=2.2),none,0.997,none
10.0.0.15,2026-08-10 00:09:00,0.1052,INFO,0.0,[],0.384,0.142,flow_count (z=0.0),none,1.0,none
10.0.0.33,2026-08-10 04:44:00,0.1052,INFO,0.0,[],0.267,0.259,total_bytes_recv (z=2.9),none,1.0,none
10.0.0.14,2026-08-10 04:53:00,0.105,INFO,0.0,[],0.314,0.21,port_entropy (z=1.9),none,1.0,none
10.0.0.31,2026-08-10 05:48:00,0.105,INFO,0.0,[],0.285,0.223,port_entropy (z=2.3),none,0.989,none
10.0.0.10,2026-08-10 03:50:00,0.105,INFO,0.0,[],0.317,0.188,syn_ratio (z=2.1),none,0.987,none
10.0.0.2,2026-08-10 03:40:00,0.1049,INFO,0.0,[],0.287,0.233,syn_ratio (z=5.4),none,0.997,none
10.0.0.36,2026-08-10 05:53:00,0.1049,INFO,0.0,[],0.287,0.229,port_entropy (z=2.6),none,0.994,none
10.0.0.35,2026-08-10 01:37:00,0.1049,INFO,0.0,[],0.276,0.231,total_bytes_recv (z=2.3),none,0.988,none
10.0.0.29,2026-08-10 01:54:00,0.1048,INFO,0.0,[],0.329,0.195,syn_ratio (z=1.8),none,1.0,none
10.0.0.25,2026-08-10 00:18:00,0.1046,INFO,0.0,[],0.278,0.245,total_bytes_sent (z=3.4),none,1.0,none
10.0.0.2,2026-08-10 04:27:00,0.1045,INFO,0.0,[],0.133,0.216,total_bytes_sent (z=-2.0),none,0.885,none
10.0.0.34,2026-08-10 05:19:00,0.1043,INFO,0.0,[],0.322,0.2,avg_duration (z=3.8),none,1.0,none
10.0.0.36,2026-08-10 01:42:00,0.1042,INFO,0.0,[],0.322,0.199,syn_ratio (z=3.8),none,1.0,none
10.0.0.6,2026-08-10 05:15:00,0.1041,INFO,0.0,[],0.283,0.237,port_entropy (z=2.1),none,1.0,none
10.0.0.38,2026-08-10 03:27:00,0.104,INFO,0.0,[],0.317,0.202,syn_ratio (z=5.3),none,1.0,none
10.0.0.7,2026-08-10 00:20:00,0.1038,INFO,0.0,[],0.148,0.372,total_bytes_sent (z=-8.0),none,1.0,none
10.0.0.27,2026-08-10 01:02:00,0.1037,INFO,0.0,[],0.303,0.215,total_bytes_recv (z=3.0),none,1.0,none
10.0.0.2,2026-08-10 00:32:00,0.1037,INFO,0.0,[],0.32,0.198,avg_duration (z=-2.0),none,1.0,none
10.0.0.8,2026-08-10 03:01:00,0.1035,INFO,0.0,[],0.281,0.236,syn_ratio (z=8.0),none,1.0,none
10.0.0.4,2026-08-10 04:48:00,0.1035,INFO,0.0,[],0.325,0.193,avg_packet_size (z=1.6),none,1.0,none
10.0.0.36,2026-08-10 04:41:00,0.1034,INFO,0.0,[],0.274,0.238,total_bytes_sent (z=4.2),none,0.997,none
10.0.0.35,2026-08-10 05:08:00,0.1033,INFO,0.0,[],0.114,0.228,total_bytes_sent (z=-2.8),none,0.884,none
10.0.0.20,2026-08-10 04:45:00,0.1033,INFO,0.0,[],0.289,0.195,avg_duration (z=-1.4),none,0.979,none
10.0.0.10,2026-08-10 01:50:00,0.1031,INFO,0.0,[],0.321,0.195,failed_ratio (z=6.0),none,1.0,none
10.0.0.25,2026-08-10 03:19:00,0.1031,INFO,0.0,[],0.314,0.201,total_bytes_recv (z=-2.4),none,1.0,none
10.0.0.12,2026-08-10 04:17:00,0.103,INFO,0.0,[],0.278,0.233,unique_dst_ports (z=2.4),none,0.997,none
10.0.0.15,2026-08-10 00:18:00,0.1029,INFO,0.0,[],0.322,0.188,avg_packet_size (z=-2.1),none,0.997,none
10.0.0.9,2026-08-10 05:55:00,0.1029,INFO,0.0,[],0.314,0.201,total_bytes_recv (z=1.9),none,1.0,none
10.0.0.5,2026-08-10 01:09:00,0.1027,INFO,0.0,[],0.273,0.218,flow_count (z=2.2),none,0.985,none
10.0.0.28,2026-08-10 02:38:00,0.1026,INFO,0.0,[],0.269,0.217,port_entropy (z=2.5),none,0.982,none
10.0.0.31,2026-08-10 01:33:00,0.1026,INFO,0.0,[],0.328,0.185,avg_duration (z=-1.1),none,1.0,none
10.0.0.28,2026-08-10 05:49:00,0.1025,INFO,0.0,[],0.269,0.226,port_entropy (z=1.7),none,0.988,none
10.0.0.33,2026-08-10 01:20:00,0.1023,INFO,0.0,[],0.335,0.172,failed_ratio (z=3.1),none,0.997,none
10.0.0.40,2026-08-10 04:48:00,0.1023,INFO,0.0,[],0.23,0.282,total_bytes_recv (z=5.5),none,1.0,none
10.0.0.23,2026-08-10 00:51:00,0.1021,INFO,0.0,[],0.278,0.233,total_bytes_recv (z=7.0),none,1.0,none
10.0.0.32,2026-08-10 03:07:00,0.102,INFO,0.0,[],0.282,0.223,port_entropy (z=2.5),none,0.997,none
10.0.0.26,2026-08-10 04:27:00,0.1018,INFO,0.0,[],0.267,0.201,port_entropy (z=2.0),none,0.973,none
10.0.0.35,2026-08-10 02:32:00,0.1017,INFO,0.0,[],0.269,0.239,avg_duration (z=3.6),none,1.0,none
10.0.0.21,2026-08-10 04:38:00,0.1017,INFO,0.0,[],0.289,0.219,syn_ratio (z=5.3),none,1.0,none
10.0.0.39,2026-08-10 05:44:00,0.1016,INFO,0.0,[],0.312,0.196,syn_ratio (z=2.5),none,1.0,none
10.0.0.31,2026-08-10 05:09:00,0.1016,INFO,0.0,[],0.303,0.2,port_entropy (z=1.6),none,0.997,none
10.0.0.28,2026-08-10 01:40:00,0.1013,INFO,0.0,[],0.122,0.221,total_bytes_sent (z=-3.2),none,0.891,none
10.0.0.33,2026-08-10 04:11:00,0.1013,INFO,0.0,[],0.27,0.237,syn_ratio (z=8.0),none,1.0,none
10.0.0.4,2026-08-10 00:09:00,0.1011,INFO,0.0,[],0.339,0.142,flow_count (z=0.0),none,0.984,none
10.0.0.17,2026-08-10 00:38:00,0.1011,INFO,0.0,[],0.265,0.218,total_bytes_sent (z=2.3),none,0.985,none
10.0.0.18,2026-08-10 01:54:00,0.1011,INFO,0.0,[],0.328,0.178,total_bytes_sent (z=-1.4),none,1.0,none
10.0.0.23,2026-08-10 04:03:00,0.101,INFO,0.0,[],0.282,0.223,avg_packet_size (z=2.8),none,1.0,none
10.0.0.38,2026-08-10 02:31:00,0.101,INFO,0.0,[],0.264,0.241,syn_ratio (z=8.0),none,1.0,none
10.0.0.29,2026-08-10 03:05:00,0.1008,INFO,0.0,[],0.296,0.209,avg_packet_size (z=-2.0),none,1.0,none
10.0.0.33,2026-08-10 03:40:00,0.1008,INFO,0.0,[],0.247,0.257,total_bytes_recv (z=5.8),none,1.0,none
10.0.0.1,2026-08-10 01:18:00,0.1008,INFO,0.0,[],0.319,0.186,syn_ratio (z=1.7),none,1.0,none
10.0.0.6,2026-08-10 02:53:00,0.1006,INFO,0.0,[],0.27,0.233,syn_ratio (z=8.0),none,1.0,none
10.0.0.30,2026-08-10 03:18:00,0.1002,INFO,0.0,[],0.276,0.225,avg_packet_size (z=5.5),none,1.0,none
10.0.0.19,2026-08-10 03:54:00,0.1002,INFO,0.0,[],0.289,0.212,syn_ratio (z=2.3),none,1.0,none
10.0.0.3,2026-08-10 02:57:00,0.0999,INFO,0.0,[],0.302,0.198,avg_duration (z=2.9),none,1.0,none
10.0.0.11,2026-08-10 03:01:00,0.0998,INFO,0.0,[],0.249,0.25,avg_packet_size (z=5.1),none,1.0,none
10.0.0.14,2026-08-10 02:02:00,0.0997,INFO,0.0,[],0.283,0.205,avg_packet_size (z=2.7),none,0.993,none
10.0.0.25,2026-08-10 03:45:00,0.0996,INFO,0.0,[],0.304,0.194,avg_duration (z=3.1),none,1.0,none
10.0.0.23,2026-08-10 02:42:00,0.0992,INFO,0.0,[],0.267,0.229,syn_ratio (z=8.0),none,1.0,none
10.0.0.3,2026-08-10 01:09:00,0.0991,INFO,0.0,[],0.232,0.264,avg_packet_size (z=7.4),none,1.0,none
10.0.0.10,2026-08-10 02:45:00,0.0991,INFO,0.0,[],0.258,0.215,port_entropy (z=2.5),none,0.985,none
10.0.0.24,2026-08-10 05:45:00,0.0988,INFO,0.0,[],0.28,0.214,avg_duration (z=8.0),none,1.0,none
